日付,通貨,USD投機筋ロング,USD投機筋ショート,USD投機筋差,通貨.1,EUR投機筋ロング,EUR投機筋ショート,EUR投機筋差,通貨.2,JPY投機筋ロング,JPY投機筋ショート,JPY投機筋差,通貨.3,GBP投機筋ロング,GBP投機筋ショート,GBP投機筋差,通貨.4,AUD投機筋ロング,AUD投機筋ショート,AUD投機筋差,通貨.5,CHF投機筋ロング,CHF投機筋ショート,CHF投機筋差,通貨.6,CAD投機筋ロング,CAD投機筋ショート,CAD投機筋差,通貨.7,NZD投機筋ロング,NZD投機筋ショート,NZD投機筋差,USDJPY終値,EURUSD終値,GBPUSD終値,AUDUSD終値,USDCHF終値,USDCAD終値,NZDUSD終値,USDJPY8週間後up or down,EURUSD8週間後up or down,GBPUSD8週間後up or down,AUDUSD8週間後up or down,USDCHF8週間後up or down,USDCAD8週間後up or down,NZDUSD8週間後up or down
2023/6/27,USD,21265,6297,14968,EUR,223977,78949,145028,JPY,38018,150888,-112870,GBP,104382,52388,51994,AUD,45225,84649,-39424,CHF,6627,11573,-4946,CAD,50307,53154,-2847,NZD,13207,14038,-831,144.079,1.09605,1.27474,0.66856,0.89371,1.31897,0.61617,,,,,,,
2023/6/20,USD,20972,6111,14861,EUR,229399,84750,144649,JPY,32244,139900,-107656,GBP,101567,54959,46608,AUD,45743,95359,-49616,CHF,8322,13173,-4851,CAD,28187,61730,-33543,NZD,10867,13526,-2659,141.451,1.09169,1.27633,0.67872,0.89781,1.32327,0.61671,,,,,,,
2023/6/13,USD,22416,8418,13998,EUR,226138,74316,151822,JPY,37088,141064,-103976,GBP,76383,69648,6735,AUD,38758,100503,-61745,CHF,8386,13429,-5043,CAD,15536,52204,-36668,NZD,15943,16774,-831,140.232,1.07923,1.26109,0.67662,0.90513,1.33125,0.61489,,,,,,,
2023/6/6,USD,24791,12572,12219,EUR,236060,77639,158421,JPY,34151,138968,-104817,GBP,65063,52579,12484,AUD,54501,110969,-56468,CHF,11579,12893,-1314,CAD,21709,60038,-38329,NZD,16109,16812,-703,139.668,1.06923,1.24226,0.66714,0.90763,1.34005,0.60766,,,,,,,
2023/5/30,USD,23927,11159,12768,EUR,241817,76092,165725,JPY,40736,136929,-96193,GBP,70320,57085,13235,AUD,68969,113095,-44126,CHF,8482,8917,-435,CAD,37619,67533,-29914,NZD,16081,16211,-130,139.774,1.07336,1.24126,0.65159,0.90569,1.36015,0.60426,,,,,,,
2023/5/23,USD,22194,10954,11240,EUR,250070,76334,173736,JPY,36760,117420,-80660,GBP,69203,57614,11589,AUD,53419,102500,-49081,CHF,10267,11170,-903,CAD,20388,68914,-48526,NZD,16648,17011,-363,138.57,1.07684,1.24112,0.66082,0.90078,1.35026,0.62467,,,,,,,
2023/5/16,USD,20669,11155,9514,EUR,258736,71647,187089,JPY,29494,94285,-64791,GBP,77388,64795,12593,AUD,43903,97497,-53594,CHF,8561,10420,-1859,CAD,28514,71504,-42990,NZD,14610,16685,-2075,136.358,1.08607,1.24883,0.66541,0.89627,1.34791,0.62302,,,,,,,
2023/5/9,USD,21656,10500,11156,EUR,260335,80913,179422,JPY,22229,83244,-61015,GBP,71561,67033,4528,AUD,41225,90418,-49193,CHF,7056,11523,-4467,CAD,29609,71872,-42263,NZD,17461,22042,-4581,135.142,1.09593,1.26196,0.67609,0.89037,1.33823,0.63341,,,,,,,
2023/5/2,USD,22988,11638,11350,EUR,246832,73343,173489,JPY,28088,96412,-68324,GBP,58661,57596,1065,AUD,52340,97350,-45010,CHF,8230,11229,-2999,CAD,27899,77995,-50096,NZD,16027,17944,-1917,136.53,1.09987,1.24661,0.6662,0.89303,1.36243,0.62073,up,down,up,up,up,down,down
2023/4/25,USD,24149,13410,10739,EUR,243516,74116,169400,JPY,13680,82424,-68744,GBP,59405,53566,5839,AUD,54241,93703,-39462,CHF,6556,10212,-3656,CAD,24295,68086,-43791,NZD,13070,16322,-3252,133.733,1.09711,1.24058,0.66246,0.8918,1.36261,0.61359,up,down,up,up,up,down,up
2023/4/18,USD,25192,14679,10513,EUR,242369,78008,164361,JPY,15661,72530,-56869,GBP,53834,52532,1302,AUD,44610,86966,-42356,CHF,5347,10067,-4720,CAD,17806,64039,-46233,NZD,10876,14780,-3904,134.097,1.09711,1.24235,0.67208,0.89603,1.3388,0.62062,up,down,up,up,up,down,down
2023/4/11,USD,26090,12826,13264,EUR,244180,80842,163338,JPY,11933,69140,-57207,GBP,54928,57326,-2398,AUD,45481,83418,-37937,CHF,4155,10889,-6734,CAD,16914,73493,-56579,NZD,13097,17578,-4481,133.645,1.09106,1.24234,0.66523,0.90315,1.34632,0.61855,up,down,down,up,up,down,down
2023/4/4,USD,25574,11468,14106,EUR,225416,82023,143393,JPY,11523,68559,-57036,GBP,46415,61208,-14793,AUD,46687,73920,-27233,CHF,2958,10961,-8003,CAD,16607,75116,-58509,NZD,14280,18311,-4031,131.688,1.09503,1.24997,0.675,0.9056,1.34431,0.63107,up,down,down,down,up,up,down
2023/3/28,USD,24552,11833,12719,EUR,222918,77893,145025,JPY,9717,63692,-53975,GBP,28355,52439,-24084,AUD,43813,79166,-35353,CHF,3978,10052,-6074,CAD,19672,76497,-56825,NZD,9720,16330,-6610,130.845,1.08441,1.23411,0.67076,0.91947,1.35975,0.62518,up,down,up,down,down,down,down
2023/3/21,USD,26258,12114,14144,EUR,215825,70983,144842,JPY,7255,73600,-66345,GBP,28652,49150,-20498,AUD,41183,79642,-38459,CHF,4853,12150,-7297,CAD,18812,75633,-56821,NZD,6765,15548,-8783,132.476,1.07656,1.2216,0.66671,0.92224,1.37111,0.61923,up,up,up,down,down,down,up
2023/3/14,USD,26446,12689,13757,EUR,222313,82357,139956,JPY,11048,85842,-74794,GBP,32334,49648,-17314,AUD,41685,81776,-40091,CHF,3594,13559,-9965,CAD,60738,92453,-31715,NZD,12185,16926,-4741,134.207,1.0732,1.21558,0.66812,0.91402,1.36832,0.62342,up,up,up,up,down,down,up
2023/3/7,USD,26665,14109,12556,EUR,233880,85432,148448,JPY,17141,92444,-75303,GBP,49111,66513,-17402,AUD,54307,79131,-24824,CHF,10394,14344,-3950,CAD,62108,91310,-29202,NZD,22415,16788,5627,137.146,1.05483,1.18252,0.65825,0.94185,1.37525,0.61058,down,up,up,up,down,down,up
2023/2/28,USD,27160,15284,11876,EUR,240766,78567,162199,JPY,27703,86381,-58678,GBP,41562,65286,-23724,AUD,41071,65236,-24165,CHF,8876,13793,-4917,CAD,31599,67673,-36074,NZD,21318,14208,7110,136.137,1.05743,1.20197,0.67278,0.9421,1.36453,0.6183,down,up,up,down,down,down,down
2023/2/21,USD,26469,14271,12198,EUR,236414,71346,165068,JPY,32486,66515,-34029,GBP,45475,66891,-21416,AUD,38492,63280,-24788,CHF,7243,13763,-6520,CAD,21889,59392,-37503,NZD,15561,6773,8788,134.99,1.06417,1.21112,0.68504,0.92765,1.35357,0.62117,down,up,up,down,down,down,down
2023/2/14,USD,23984,12010,11974,EUR,236574,72668,163906,JPY,23079,50922,-27843,GBP,42198,61993,-19795,AUD,30752,59659,-28907,CHF,4701,12169,-7468,CAD,24466,59960,-35494,NZD,14185,5182,9003,133.102,1.07358,1.21701,0.6976,0.92139,1.33355,0.63356,up,up,up,down,down,up,down
2023/2/7,USD,24029,11760,12269,EUR,238338,73300,165038,JPY,16556,45645,-29089,GBP,47131,61252,-14121,AUD,30044,58149,-28105,CHF,7052,13420,-6368,CAD,33292,66383,-33091,NZD,16181,5337,10844,131.022,1.07229,1.20461,0.69584,0.92181,1.33968,0.63241,up,up,up,down,down,up,down
2023/1/31,USD,29221,12684,16537,EUR,246755,96246,150509,JPY,22550,42610,-20060,GBP,36234,54551,-18317,AUD,36337,66929,-30592,CHF,5664,13978,-8314,CAD,26404,56588,-30184,NZD,15376,6990,8386,130.074,1.08611,1.23197,0.70533,0.91524,1.33034,0.64378,up,down,up,down,up,up,down
2023/1/24,USD,33291,18128,15163,EUR,237743,103394,134349,JPY,27620,49255,-21635,GBP,34756,58690,-23934,AUD,29466,62637,-33171,CHF,3624,13132,-9508,CAD,25978,56690,-30712,NZD,10170,7996,2174,130.151,1.08852,1.23277,0.70447,0.92228,1.33686,0.65027,up,down,down,down,down,up,down
2023/1/17,USD,31694,18336,13358,EUR,228279,101295,126984,JPY,29458,52419,-22961,GBP,41469,66166,-24697,AUD,28593,62213,-33620,CHF,3919,11860,-7941,CAD,20897,48156,-27259,NZD,11308,5250,6058,128.023,1.07869,1.22812,0.69864,0.92191,1.33855,0.6421,up,down,down,down,down,up,down
2023/1/10,USD,33928,17388,16540,EUR,238623,103641,134982,JPY,26395,61772,-35377,GBP,36007,65463,-29456,AUD,30210,63900,-33690,CHF,3668,11038,-7370,CAD,22166,53121,-30955,NZD,12607,5257,7350,132.243,1.07323,1.21475,0.6881,0.9219,1.34241,0.63703,up,down,down,down,up,up,down
2023/1/3,USD,33171,15410,17761,EUR,222543,92628,129915,JPY,25377,72241,-46864,GBP,43625,63926,-20301,AUD,35208,71475,-36267,CHF,6632,9486,-2854,CAD,25497,52263,-26766,NZD,13366,5886,7480,131.005,1.05466,1.19656,0.67253,0.93569,1.36702,0.62474,up,up,up,up,up,down,down
2022/12/27,USD,33142,16201,16941,EUR,251887,105725,146162,JPY,29685,67415,-37730,GBP,40585,51472,-10887,AUD,32955,69746,-36791,CHF,3929,8060,-4131,CAD,28879,58912,-30033,NZD,15576,8669,6907,133.475,1.06384,1.2024,0.67279,0.92876,1.35216,0.62747,up,up,up,up,down,up,down
2022/12/20,USD,32727,15970,16757,EUR,249149,106877,142272,JPY,33686,74567,-40881,GBP,35284,40887,-5603,AUD,31779,65894,-34115,CHF,5001,9065,-4064,CAD,39705,66666,-26961,NZD,13386,7052,6334,131.69,1.06236,1.21706,0.66675,0.92558,1.35999,0.63462,up,up,down,up,down,down,down
2022/12/13,USD,38766,12988,25778,EUR,236415,111700,124715,JPY,22290,75478,-53188,GBP,32008,57747,-25739,AUD,35825,73662,-37837,CHF,2081,13892,-11811,CAD,31720,58968,-27248,NZD,19700,27206,-7506,135.556,1.06315,1.23626,0.68484,0.92736,1.35434,0.64615,down,up,down,up,down,down,down
2022/12/6,USD,36157,11271,24886,EUR,245063,120180,124883,JPY,23589,89585,-65996,GBP,28539,56732,-28193,AUD,36334,76897,-40563,CHF,1343,13573,-12230,CAD,30717,52807,-22090,NZD,16302,22800,-6498,137.046,1.0461,1.21319,0.66871,0.94128,1.36506,0.63112,down,up,up,up,down,down,up
2022/11/29,USD,37279,12387,24892,EUR,241122,118875,122247,JPY,28125,95519,-67394,GBP,26000,62584,-36584,AUD,35045,79675,-44630,CHF,1488,15735,-14247,CAD,35123,51239,-16116,NZD,18855,23909,-5054,138.671,1.03267,1.19502,0.66867,0.95178,1.3578,0.61915,down,up,up,up,down,down,up
2022/11/22,USD,38310,14245,24065,EUR,239598,116486,123112,JPY,30800,95650,-64850,GBP,30917,66859,-35942,AUD,32825,75611,-42786,CHF,1910,16386,-14476,CAD,36733,48405,-11672,NZD,15536,19820,-4284,141.194,1.03027,1.1884,0.66473,0.95103,1.33713,0.61483,down,up,up,up,down,up,up
2022/11/15,USD,38965,12111,26854,EUR,239369,126703,112666,JPY,33797,99639,-65842,GBP,34699,67533,-32834,AUD,33214,77963,-44749,CHF,2271,19098,-16827,CAD,37456,50376,-12920,NZD,15285,21913,-6628,139.262,1.03478,1.18612,0.67516,0.94284,1.32772,0.61504,down,up,up,up,down,up,up
2022/11/8,USD,42887,12694,30193,EUR,232317,124718,107599,JPY,37201,112459,-75258,GBP,36630,76365,-39735,AUD,33288,79971,-46683,CHF,4865,22019,-17154,CAD,39586,58050,-18464,NZD,18085,24452,-6367,145.666,1.00707,1.15382,0.65047,0.98502,1.34254,0.59503,down,up,up,up,down,up,up
2022/11/1,USD,42304,12516,29788,EUR,239770,133980,105790,JPY,40460,118080,-77620,GBP,34979,79815,-44836,AUD,34148,84680,-50532,CHF,6612,21396,-14784,CAD,38522,56171,-17649,NZD,21115,24962,-3847,148.227,0.98762,1.14803,0.63936,0.99693,1.36295,0.58396,down,up,up,up,down,down,up
2022/10/25,USD,44998,14900,30098,EUR,226734,151825,74909,JPY,37579,140197,-102618,GBP,43511,91316,-47805,AUD,32159,83605,-51446,CHF,5538,16838,-11300,CAD,35607,53762,-18155,NZD,15639,28523,-12884,147.912,0.99612,1.1466,0.63931,0.99422,1.36067,0.57518,down,up,up,up,down,down,up
2022/10/18,USD,44956,12266,32690,EUR,202703,154553,48150,JPY,30583,124919,-94336,GBP,40328,91539,-51211,AUD,33046,68405,-35359,CHF,7052,14138,-7086,CAD,35384,55957,-20573,NZD,10328,28773,-18445,149.145,0.98573,1.13198,0.63068,0.99351,1.37314,0.56818,down,up,up,up,down,down,up
